
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:31:52 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:31:52 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:32:12 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:32:12 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:32:37 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:32:37 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:33:22 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:33:22 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:34:02 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:34:02 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:35:01 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:35:01 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:46:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:46:06 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:46:20 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:46:20 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:47:12 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:47:12 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:50:05 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:50:05 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:50:57 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:50:57 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:51:08 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:51:08 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/sujoy , Method = GET , Date = Sun Jul 19 2020 20:51:26 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:51:26 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/nivi , Method = GET , Date = Sun Jul 19 2020 20:55:35 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:55:35 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/arihant , Method = GET , Date = Sun Jul 19 2020 20:55:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:55:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/arihant , Method = GET , Date = Sun Jul 19 2020 20:57:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:57:42 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/arihant , Method = GET , Date = Sun Jul 19 2020 20:59:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 20:59:43 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/userprofiles/profilename/arihant , Method = GET , Date = Sun Jul 19 2020 21:00:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
http://localhost:4000/api/movies , Method = GET , Date = Sun Jul 19 2020 21:00:51 GMT-0700 (Mountain Standard Time) , IP = ::1 , Status = 200
